id,title,tipo,icon,anclajes,lastUpdated,plazas,geometry
"1838,Ibon de Marbore,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,7,2025-04-22T23:05:48,14,""[-0.9331466486667452,41.66152415406688]"""
"1369,CEIP Soledad Puértolas,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,7,2025-04-22T23:05:48,14,""[-0.9299930893430038,41.62519763069076]"""
"1949,Melchor Gaspar de Jovellanos,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,7,2025-04-22T23:05:48,14,""[-0.9276356078382254,41.62757756178738]"""
"144,C/Juan pablo II 37 Aragonia,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,10,2025-04-22T23:05:48,20,""[-0.9100028274425447,41.640647330260606]"""
"1061,Centro de Salud,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:48,10,""[-0.92979590886982,41.65174354852329]"""
"1899,Oceano Atlantico,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:48,10,""[-0.9207394945512278,41.64678051117714]"""
"1620,Villa de Andorra,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,12,""[-0.9143473196635957,41.64647270685458]"""
"1073,Parque del Agua,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,3,2025-04-22T23:05:49,12,""[-0.9165441357607499,41.66705665125412]"""
"1001,Hospital San Juan de Dios,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,6,""[-0.8874033089316353,41.633684468294696]"""
"1219,Cámara de Comercio,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,8,2025-04-22T23:05:49,16,""[-0.8988215613017977,41.63728527143081]"""
"1559,Bruno Soler,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,4,2025-04-22T23:05:49,8,""[-0.8955659106053272,41.639846080050745]"""
"256,Universidad,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,38,2025-04-22T23:05:49,39,""[-0.897214485357104,41.64170567615509]"""
"1523,Avenida Madrid,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9011563648377815,41.6544143455882]"""
"313,Entorno Estacion Renfe,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,20,2025-04-22T23:05:49,40,""[-0.9121975605588237,41.65685846234478]"""
"314,World Trade Center,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,19,2025-04-22T23:05:49,38,""[-0.8893956164583667,41.66868454398282]"""
"754,Avenida Ciudad de Soria,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,20,2025-04-22T23:05:49,40,""[-0.9018658325635132,41.65734057981322]"""
"701,Alfajería,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,8,2025-04-22T23:05:49,16,""[-0.8965562096767725,41.655738655943736]"""
"322,Escuela Universitaria de Estudios Sociales,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,28,2025-04-22T23:05:49,28,""[-0.9053971391814345,41.641853286914525]"""
"29,Campo de Futbol El Carmen,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8946817227027193,41.66149305989489]"""
"1692,La Almozara,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,4,2025-04-22T23:05:49,8,""[-0.9011414249671036,41.66387858245351]"""
"129,Centro de salud Picarral,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,3,2025-04-22T23:05:49,6,""[-0.8716392941296548,41.668089971719525]"""
"240,Esquina con Albareda,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8853418863166405,41.64970811462727]"""
"264,C.D.M. Gran Via,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,7,""[-0.9018222586295089,41.640634592598126]"""
"270,Centro de Danza,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,12,2025-04-22T23:05:49,24,""[-0.9001826429577411,41.639687287599955]"""
"731,Stadium Venecia,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,24,2025-04-22T23:05:49,27,""[-0.8890386276175156,41.62578949870652]"""
"1648,Calle Cabezo Buena Vista,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8896920028146261,41.631806866361444]"""
"338,Aljaferia,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,12,""[-0.8952312311010776,41.657076468243105]"""
"698,Esto no es un solar,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,6,2025-04-22T23:05:49,6,""[-0.8876431406757055,41.65682507877342]"""
"485,Cocinas Coen,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,3,2025-04-22T23:05:49,6,""[-0.8904889946404015,41.64076141913938]"""
"705,Subestación Endesa,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,2,2025-04-22T23:05:49,8,""[-0.899029846703148,41.67560977687269]"""
"172,Paseo de Sagasta (mediana),Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,7,2025-04-22T23:05:49,14,""[-0.8860322878759641,41.6432006497278]"""
"1756,Mariana Pineda,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,12,""[-0.8902984033686001,41.6647975125814]"""
"773,Virginia Woolf,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,6,""[-0.8894572747434853,41.664191380398236]"""
"665,Romareda,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,4,2025-04-22T23:05:49,8,""[-0.9014863694950661,41.63549969435281]"""
"1810,Tiziano,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,10,2025-04-22T23:05:49,20,""[-0.8761822132179025,41.6189152577309]"""
"1588,Canal,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.877859788957539,41.63170582115377]"""
"935,juan Carlos I con Sabiñánigo,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,4,2025-04-22T23:05:49,8,""[-0.9091437634643955,41.642644846247514]"""
"980,Puerto Venecia-Conforama,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,6,""[-0.8906664642502431,41.609818741560005]"""
"982,Puerto Venecia-Tienda Animal,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,6,""[-0.8893290848927068,41.6101869218681]"""
"985,Puerto Venecia-Parada bus,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,30,2025-04-22T23:05:49,31,""[-0.8899702805339192,41.60842629013949]"""
"1013,Paseo Ranillas,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,2,2025-04-22T23:05:49,2,""[-0.8908422494449139,41.662679156742925]"""
"1075,Embarcadero,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,12,2025-04-22T23:05:49,14,""[-0.8721694735791321,41.62715410079556]"""
"1082,Roger de Flor,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9165889411865684,41.64821814791861]"""
"1327,Centro de Salud La Jota,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8593010366088502,41.66129098838258]"""
"227,Universidad-Residencia Santa Isabel,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,24,2025-04-22T23:05:49,24,""[-0.9006956264344987,41.64086215666687]"""
"808,Cuellar,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8844936842127524,41.63613281054753]"""
"260,Universidad-Derecho,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8988654271039835,41.64082295851903]"""
"1385,Cavijo con Calanda,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9021852649651863,41.6490754295912]"""
"1696,Pablo Gargallo,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8998323620629949,41.66080393054611]"""
"116,C/ Rio Esera,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,12,""[-0.8961038619985308,41.66141388590581]"""
"687,San Bruno,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,4,2025-04-22T23:05:49,8,""[-0.8750573717987971,41.65515735505521]"""
"963,IES Pablo Gargallo,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,8,2025-04-22T23:05:49,16,""[-0.8730946004648713,41.633911989851235]"""
"1064,La Ciclería,Vigilado,https://www.zaragoza.es/contenidos/iconos/aparcabici_vigilado.png,31,2025-04-22T23:05:49,31,""[-0.8738888825977481,41.65347217541887]"""
"183,Andador,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,7,2025-04-22T23:05:49,14,""[-0.8796050654372015,41.64362759754746]"""
"110,C/ Asalto junto a Recicleta,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8707957356133151,41.649649466146265]"""
"190,Gimnasio Metropolitan,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,5,""[-0.8996459156126327,41.633676346106625]"""
"953,Guardería El Osos del Parque,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,3,2025-04-22T23:05:49,6,""[-0.8684280017852074,41.65067375592249]"""
"206,C.D.M. La Granja,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8691066112457764,41.63609125366879]"""
"208,IES Pablo Gargallo,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,5,2025-04-22T23:05:49,10,""[-0.8729638949554028,41.63393915849448]"""
"1131,Vicente López Abadía,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8679155311480623,41.65198369433487]"""
